station_name,number
"
								莘庄",1
"
								外环路",2
"
								莲花路",3
"
								锦江乐园",4
"
								上海南站",5
"
								漕宝路",6
"
								上海体育馆",7
"
								徐家汇",8
"
								衡山路",9
"
								常熟路",10
"
								陕西南路",11
"
								黄陂南路",12
"
								人民广场",13
"
								新闸路",14
"
								汉中路",15
"
								上海火车站",16
"
								中山北路",17
"
								延长路",18
"
								上海马戏城",19
"
								汶水路",20
"
								彭浦新村",21
"
								共康路",22
"
								通河新村",23
"
								呼兰路",24
"
								共富新村",25
"
								宝安公路",26
"
								友谊西路",27
"
								富 锦 路",28
"
								浦东国际机场",29
"
								海天三路",30
"
								远东大道",31
"
凌空路",32
"
川沙",33
"
								华夏东路",34
"
创新中路",35
"
唐镇",36
"
广兰路",37
"
								广兰路",38
"
								金科路",39
"
								张江高科",40
"
								龙阳路",41
"
								世纪公园",42
"
								上海科技馆",43
"
								世纪大道",44
"
								东昌路",45
"
								陆家嘴",46
"
								南京东路",47
"
								南京西路",48
"
								静安寺",49
"
								江苏路",50
"
								中山公园",51
"
								娄山关路",52
"
								威宁路",53
"
								北新泾",54
"
								淞虹路",55
"
								虹桥2号航站楼 ",56
"
								虹桥火车站",57
"
								徐泾东",58
"
								花木路",59
"
								芳华路",60
"
								锦绣路",61
"
								杨高南路",62
"
								高科西路",63
"
								云台路",64
"
								耀华路",65
"
								长清路",66
"
								后滩",67
"
								龙华中路",68
"
								东安路",69
"
								肇嘉浜路",70
"
								昌平路",71
"
								长寿路",72
"
								镇坪路",73
"
								岚皋路",74
"
								新村路",75
"
								大华三路",76
"
								行知路",77
"
								大场镇",78
"
								场中路",79
"
								上大路",80
"
								南陈路",81
"
								上海大学",82
"
								祁华路",83
"
								顾村公园",84
"
								刘行",85
"
								潘广路",86
"
								罗南新村",87
"
								美兰湖",88
