line,from_station,to_station,first_time,last_time
1,"
								莘庄","
								外环路",330,1352
1,"
								外环路","
								莲花路",332,1354
1,"
								莲花路","
								锦江乐园",334,1356
1,"
								锦江乐园","
								上海南站",337,1359
1,"
								上海南站","
								漕宝路",295,1362
1,"
								漕宝路","
								上海体育馆",297,1365
1,"
								上海体育馆","
								徐家汇",300,1368
1,"
								徐家汇","
								衡山路",302,1370
1,"
								衡山路","
								常熟路",304,1372
1,"
								常熟路","
								陕西南路",306,1374
1,"
								陕西南路","
								黄陂南路",308,1376
1,"
								黄陂南路","
								人民广场",311,1378
1,"
								人民广场","
								新闸路",314,1381
1,"
								新闸路","
								汉中路",315,1383
1,"
								汉中路","
								上海火车站",317,1385
1,"
								上海火车站","
								中山北路",343,1388
1,"
								中山北路","
								延长路",345,1390
1,"
								延长路","
								上海马戏城",348,1393
1,"
								上海马戏城","
								汶水路",350,1395
1,"
								汶水路","
								彭浦新村",352,1397
1,"
								彭浦新村","
								共康路",355,1400
1,"
								共康路","
								通河新村",358,1403
1,"
								通河新村","
								呼兰路",360,1405
1,"
								呼兰路","
								共富新村",363,1407
1,"
								共富新村","
								宝安公路",365,1410
1,"
								宝安公路","
								友谊西路",368,1413
1,"
								友谊西路","
								富 锦 路",370,1415
1,"
								外环路","
								莘庄",362,1412
1,"
								莲花路","
								外环路",360,1410
1,"
								锦江乐园","
								莲花路",357,1407
1,"
								上海南站","
								锦江乐园",354,1404
1,"
								漕宝路","
								上海南站",351,1401
1,"
								上海体育馆","
								漕宝路",349,1399
1,"
								徐家汇","
								上海体育馆",346,1396
1,"
								衡山路","
								徐家汇",344,1394
1,"
								常熟路","
								衡山路",342,1392
1,"
								陕西南路","
								常熟路",340,1390
1,"
								黄陂南路","
								陕西南路",338,1388
1,"
								人民广场","
								黄陂南路",335,1385
1,"
								新闸路","
								人民广场",333,1383
1,"
								汉中路","
								新闸路",331,1381
1,"
								上海火车站","
								汉中路",330,1380
1,"
								中山北路","
								上海火车站",357,1377
1,"
								延长路","
								中山北路",355,1375
1,"
								上海马戏城","
								延长路",353,1373
1,"
								汶水路","
								上海马戏城",350,1370
1,"
								彭浦新村","
								汶水路",347,1367
1,"
								共康路","
								彭浦新村",345,1365
1,"
								通河新村","
								共康路",342,1362
1,"
								呼兰路","
								通河新村",340,1360
1,"
								共富新村","
								呼兰路",337,1357
1,"
								宝安公路","
								共富新村",334,1354
1,"
								友谊西路","
								宝安公路",332,1352
1,"
								富 锦 路","
								友谊西路",330,1350
2,"
								浦东国际机场","
								海天三路",360,1320
2,"
								海天三路","
								远东大道",363,1323
2,"
								远东大道","
凌空路",370,1330
2,"
凌空路","
川沙",375,1335
2,"
川沙","
								华夏东路",378,1338
2,"
								华夏东路","
创新中路",383,1343
2,"
创新中路","
唐镇",386,1346
2,"
唐镇","
广兰路",389,1349
2,"
								海天三路","
								浦东国际机场",391,1351
2,"
								远东大道","
								海天三路",384,1344
2,"
凌空路","
								远东大道",379,1339
2,"
川沙","
凌空路",375,1335
2,"
								华夏东路","
川沙",371,1331
2,"
创新中路","
								华夏东路",368,1328
2,"
唐镇","
创新中路",364,1324
2,"
广兰路","
唐镇",360,1320
2,"
								广兰路","
								金科路",328,1370
2,"
								金科路","
								张江高科",331,1373
2,"
								张江高科","
								龙阳路",333,1375
2,"
								龙阳路","
								世纪公园",320,1379
2,"
								世纪公园","
								上海科技馆",321,1381
2,"
								上海科技馆","
								世纪大道",324,1384
2,"
								世纪大道","
								东昌路",327,1387
2,"
								东昌路","
								陆家嘴",329,1390
2,"
								陆家嘴","
								南京东路",331,1392
2,"
								南京东路","
								人民广场",334,1395
2,"
								人民广场","
								南京西路",337,1398
2,"
								南京西路","
								静安寺",339,1401
2,"
								静安寺","
								江苏路",341,1404
