line,from_station,to_station,first_time,last_time
1,"
								莘庄","
								外环路",330,1430
1,"
								外环路","
								莲花路",332,1432
1,"
								莲花路","
								锦江乐园",334,1434
1,"
								锦江乐园","
								上海南站",337,1437
1,"
								上海南站","
								漕宝路",295,1440
1,"
								漕宝路","
								上海体育馆",297,1443
1,"
								上海体育馆","
								徐家汇",300,1446
1,"
								徐家汇","
								衡山路",302,1448
1,"
								衡山路","
								常熟路",304,1450
1,"
								常熟路","
								陕西南路",306,1452
1,"
								陕西南路","
								黄陂南路",308,1454
1,"
								黄陂南路","
								人民广场",311,1456
1,"
								人民广场","
								新闸路",314,1459
1,"
								新闸路","
								汉中路",315,1461
1,"
								汉中路","
								上海火车站",317,1463
1,"
								上海火车站","
								中山北路",343,1466
1,"
								中山北路","
								延长路",345,1468
1,"
								延长路","
								上海马戏城",348,1471
1,"
								上海马戏城","
								汶水路",350,1473
1,"
								汶水路","
								彭浦新村",352,1475
1,"
								彭浦新村","
								共康路",355,1478
1,"
								共康路","
								通河新村",358,1481
1,"
								通河新村","
								呼兰路",360,1483
1,"
								呼兰路","
								共富新村",363,1485
1,"
								共富新村","
								宝安公路",365,1488
1,"
								宝安公路","
								友谊西路",368,1491
1,"
								友谊西路","
								富 锦 路",370,1493
1,"
								外环路","
								莘庄",362,1492
1,"
								莲花路","
								外环路",360,1490
1,"
								锦江乐园","
								莲花路",357,1487
1,"
								上海南站","
								锦江乐园",354,1484
1,"
								漕宝路","
								上海南站",351,1481
1,"
								上海体育馆","
								漕宝路",349,1479
1,"
								徐家汇","
								上海体育馆",346,1476
1,"
								衡山路","
								徐家汇",344,1474
1,"
								常熟路","
								衡山路",342,1472
1,"
								陕西南路","
								常熟路",340,1470
1,"
								黄陂南路","
								陕西南路",338,1468
1,"
								人民广场","
								黄陂南路",335,1465
1,"
								新闸路","
								人民广场",333,1463
1,"
								汉中路","
								新闸路",331,1461
1,"
								上海火车站","
								汉中路",330,1460
1,"
								中山北路","
								上海火车站",357,1457
1,"
								延长路","
								中山北路",355,1455
1,"
								上海马戏城","
								延长路",353,1453
1,"
								汶水路","
								上海马戏城",350,1450
1,"
								彭浦新村","
								汶水路",347,1447
1,"
								共康路","
								彭浦新村",345,1445
1,"
								通河新村","
								共康路",342,1442
1,"
								呼兰路","
								通河新村",340,1440
1,"
								共富新村","
								呼兰路",337,1437
1,"
								宝安公路","
								共富新村",334,1434
1,"
								友谊西路","
								宝安公路",332,1432
1,"
								富 锦 路","
								友谊西路",330,1430
2,"
								广兰路","
								金科路",328,1440
2,"
								金科路","
								张江高科",331,1443
2,"
								张江高科","
								龙阳路",333,1445
2,"
								龙阳路","
								世纪公园",320,1449
2,"
								世纪公园","
								上海科技馆",321,1451
2,"
								上海科技馆","
								世纪大道",324,1454
2,"
								世纪大道","
								东昌路",327,1457
2,"
								东昌路","
								陆家嘴",329,1460
2,"
								陆家嘴","
								南京东路",331,1462
2,"
								南京东路","
								人民广场",334,1465
2,"
								人民广场","
								南京西路",337,1468
2,"
								南京西路","
								静安寺",339,1471
2,"
								静安寺","
								江苏路",341,1474
2,"
								江苏路","
								中山公园",344,1476
2,"
								中山公园","
								娄山关路",347,1479
2,"
								娄山关路","
								威宁路",350,1482
2,"
								威宁路","
								北新泾",353,1485
2,"
								北新泾","
								淞虹路",355,1488
2,"
								淞虹路","
								虹桥2号航站楼 ",358,1490
2,"
								虹桥2号航站楼 ","
								虹桥火车站",365,1497
2,"
								虹桥火车站","
								徐泾东",367,1499
2,"
								金科路","
								广兰路",385,1492
2,"
								张江高科","
								金科路",382,1489
2,"
								龙阳路","
								张江高科",378,1485
2,"
								世纪公园","
								龙阳路",376,1483
2,"
								上海科技馆","
								世纪公园",374,1481
2,"
								世纪大道","
								上海科技馆",371,1478
2,"
								东昌路","
								世纪大道",368,1475
2,"
								陆家嘴","
								东昌路",366,1473
2,"
								南京东路","
								陆家嘴",363,1470
2,"
								人民广场","
								南京东路",361,1468
2,"
								南京西路","
								人民广场",358,1465
2,"
								静安寺","
								南京西路",355,1462
2,"
								江苏路","
								静安寺",352,1459
2,"
								中山公园","
								江苏路",350,1457
2,"
								娄山关路","
								中山公园",347,1454
2,"
								威宁路","
								娄山关路",344,1451
2,"
								北新泾","
								威宁路",342,1449
2,"
								淞虹路","
								北新泾",340,1447
2,"
								虹桥2号航站楼 ","
								淞虹路",333,1440
2,"
								虹桥火车站","
								虹桥2号航站楼 ",331,1438
2,"
								徐泾东","
								虹桥火车站",328,1435
7,"
								花木路","
								龙阳路",330,1430
7,"
								龙阳路","
								芳华路",333,1433
7,"
								芳华路","
								锦绣路",335,1435
7,"
								锦绣路","
								杨高南路",338,1438
7,"
								杨高南路","
								高科西路",340,1440
7,"
								高科西路","
								云台路",343,1443
7,"
								云台路","
								耀华路",345,1445
7,"
								耀华路","
								长清路",347,1447
7,"
								长清路","
								后滩",349,1449
7,"
								后滩","
								龙华中路",351,1451
7,"
								龙华中路","
								东安路",354,1454
7,"
								东安路","
								肇嘉浜路",356,1456
