line,from_station,to_station,first_time,last_time
1,苹果园,古城,310,1410
1,古城, 八角游乐园,298,1414
1, 八角游乐园, 八宝山,301,1417
1, 八宝山, 玉泉路,304,1420
1, 玉泉路, 五棵松,306,1422
1, 五棵松, 万寿路,309,1425
1, 万寿路, 公主坟,312,1428
1, 公主坟, 军事博物馆,314,1430
1, 军事博物馆, 木樨地,317,1433
1, 木樨地, 南礼士路,319,1435
1, 南礼士路, 复兴门,321,1437
1, 复兴门, 西单,315,1440
1, 西单, 天安门西,317,1442
1, 天安门西, 天安门东,319,1444
1, 天安门东, 王府井,321,1446
1, 王府井, 东单,323,1448
1, 东单, 建国门,325,1450
1, 建国门, 永安里,328,1453
1, 永安里, 国贸,330,1455
1, 国贸, 大望路,332,1457
1, 大望路, 四惠,335,1460
1, 四惠, 四惠东,338,1463
1,古城,苹果园,336,1461
1, 八角游乐园,古城,332,1458
1, 八宝山, 八角游乐园,329,1455
1, 玉泉路, 八宝山,326,1453
1, 五棵松, 玉泉路,323,1450
1, 万寿路, 五棵松,321,1447
1, 公主坟, 万寿路,318,1445
1, 军事博物馆, 公主坟,316,1442
1, 木樨地, 军事博物馆,313,1440
1, 南礼士路, 木樨地,311,1437
1, 复兴门, 南礼士路,310,1436
1, 西单, 复兴门,317,1433
1, 天安门西, 西单,315,1431
1, 天安门东, 天安门西,313,1429
1, 王府井, 天安门东,311,1427
1, 东单, 王府井,309,1425
1, 建国门, 东单,307,1423
1, 永安里, 建国门,304,1420
1, 国贸, 永安里,302,1418
1, 大望路, 国贸,300,1416
1, 四惠, 大望路,297,1413
1, 四惠东, 四惠,305,1410
