line,from_station,to_station,first_time,last_time
1,苹果园,古城,310,1375
1,古城, 八角游乐园,298,1379
1, 八角游乐园, 八宝山,301,1382
1, 八宝山, 玉泉路,304,1385
1, 玉泉路, 五棵松,306,1387
1, 五棵松, 万寿路,309,1390
1, 万寿路, 公主坟,312,1393
1, 公主坟, 军事博物馆,314,1395
1, 军事博物馆, 木樨地,317,1398
1, 木樨地, 南礼士路,319,1400
1, 南礼士路, 复兴门,321,1402
1, 复兴门, 西单,315,1405
1, 西单, 天安门西,317,1407
1, 天安门西, 天安门东,319,1409
1, 天安门东, 王府井,321,1411
1, 王府井, 东单,323,1413
1, 东单, 建国门,325,1415
1, 建国门, 永安里,328,1418
1, 永安里, 国贸,330,1420
1, 国贸, 大望路,332,1422
1, 大望路, 四惠,335,1425
1, 四惠, 四惠东,338,1428
1,古城,苹果园,336,1446
1, 八角游乐园,古城,332,1443
1, 八宝山, 八角游乐园,329,1440
1, 玉泉路, 八宝山,326,1438
1, 五棵松, 玉泉路,323,1435
1, 万寿路, 五棵松,321,1432
1, 公主坟, 万寿路,318,1430
1, 军事博物馆, 公主坟,316,1427
1, 木樨地, 军事博物馆,313,1425
1, 南礼士路, 木樨地,311,1422
1, 复兴门, 南礼士路,310,1421
1, 西单, 复兴门,317,1418
1, 天安门西, 西单,315,1416
1, 天安门东, 天安门西,313,1414
1, 王府井, 天安门东,311,1412
1, 东单, 王府井,309,1410
1, 建国门, 东单,307,1408
1, 永安里, 建国门,304,1405
1, 国贸, 永安里,302,1403
1, 大望路, 国贸,300,1401
1, 四惠, 大望路,297,1398
1, 四惠东, 四惠,305,1395
2(外环), 积水潭, 西直门,335,1376
2(外环), 鼓楼大街, 积水潭,332,1373
2(外环), 安定门, 鼓楼大街,329,1370
2(外环), 雍和宫, 安定门,328,1369
2(外环), 东直门, 雍和宫,324,1365
2(外环), 东四十条, 东直门,322,1363
2(外环), 朝阳门, 东四十条,320,1361
2(外环), 建国门, 朝阳门,317,1358
2(外环), 北京站, 建国门,315,1356
2(外环), 崇文门, 北京站,328,1353
2(外环), 前门, 崇文门,325,1350
2(外环), 和平门, 前门,323,1348
2(外环), 宣武门, 和平门,321,1346
2(外环), 长椿街, 宣武门,319,1344
2(外环), 复兴门, 长椿街,317,1342
2(外环), 阜成门, 复兴门,314,1339
