station_name,number
迈皋桥,1
红山动物园,2
南京站,3
新模范马路,4
玄武门,5
鼓楼,6
珠江路,7
新街口,8
张府园,9
三山街,10
中华门,11
安德门,12
天隆寺,13
软件大道,14
花神庙,15
南京南站,16
双龙大道,17
河定桥,18
胜太路,19
百家湖,20
小龙湾,21
竹山路,22
天印大道,23
龙眠大道,24
江苏经贸学院,25
南京交院,26
中国药科大学,27
油坊桥,28
雨润大街,29
元通,30
奥体东,31
兴隆大街,32
集庆门大街,33
云锦路,34
莫愁湖,35
汉中门,36
上海路,37
大行宫,38
西安门,39
明故宫,40
苜蓿园,41
下马坊,42
孝陵卫,43
钟灵街,44
马群,45
金马路,46
仙鹤门,47
学则路,48
仙林中心,49
羊山公园,50
南大仙林校区,51
经天路,52
林场,53
星火路,54
东大成贤学院,55
泰冯路,56
天润城,57
柳洲东路,58
上元门,59
五塘广场,60
小市,61
南京林业大学·新庄,62
鸡鸣寺,63
浮桥,64
常府街,65
夫子庙,66
武定门,67
雨花门,68
卡子门,69
大明路,70
明发广场,71
宏运大道,72
胜太西路,73
天元西路,74
九龙湖,75
诚信大道,76
东大九龙湖校区,77
秣周东路,78
仙林湖,79
西岗桦墅,80
孟北,81
东流,82
灵山,83
汇通路,84
苏宁总部·徐庄,85
聚宝山,86
王家湾,87
蒋王庙,88
岗子村,89
九华山,90
云南路,91
南艺·二师·草场门,92
龙江,93
小行,94
中胜,95
奥体中心,96
梦都大街,97
绿博园,98
江心洲,99
临江,100
浦口万汇城,101
南京工业大学,102
龙华路,103
文德路,104
雨山路,105
翠屏山,106
河海大学佛城西路,107
吉印大道,108
正方中路,109
翔宇路北,110
翔宇路南,111
禄口机场,112
泰山新村,113
高新开发区,114
信息工程大学,115
卸甲甸,116
大厂,117
葛塘,118
长芦,119
化工园,120
六合开发区,121
龙池,122
雄州,123
凤凰山公园,124
方州广场,125
沈桥,126
八百桥,127
金牛湖,128
高家冲,129
林山,130
桥林新城,131
石碛河,132
双垅,133
兰花塘,134
马骡圩,135
刘村,136
天保,137
高庙路,138
吴侯街,139
平良大街,140
永初路,141
贾西,142
春江路,143
铁心桥,144
景明佳园,145
