line,from_station,to_station,first_time,last_time
1,迈皋桥,红山动物园,342,1399
1,红山动物园,南京站,344,1401
1,南京站,新模范马路,346,1403
1,新模范马路,玄武门,349,1406
1,玄武门,鼓楼,351,1408
1,鼓楼,珠江路,353,1410
1,珠江路,新街口,355,1412
1,新街口,张府园,357,1414
1,张府园,三山街,359,1416
1,三山街,中华门,361,1418
1,中华门,安德门,364,1421
1,安德门,天隆寺,367,1424
1,天隆寺,软件大道,369,1426
1,软件大道,花神庙,371,1428
1,花神庙,南京南站,373,1430
1,南京南站,双龙大道,376,1433
1,双龙大道,河定桥,379,1436
1,河定桥,胜太路,381,1439
1,胜太路,百家湖,383,1441
1,百家湖,小龙湾,385,1443
1,小龙湾,竹山路,388,1446
1,竹山路,天印大道,390,1448
1,天印大道,龙眠大道,393,1450
1,龙眠大道,江苏经贸学院,395,1452
1,江苏经贸学院,南京交院,397,1455
1,南京交院,中国药科大学,400,1458
1,红山动物园,迈皋桥,406,1467
1,南京站,红山动物园,404,1465
1,新模范马路,南京站,401,1462
1,玄武门,新模范马路,399,1460
1,鼓楼,玄武门,397,1458
1,珠江路,鼓楼,395,1456
1,新街口,珠江路,393,1453
1,张府园,新街口,391,1451
1,三山街,张府园,389,1449
1,中华门,三山街,386,1446
1,安德门,中华门,383,1443
1,天隆寺,安德门,381,1441
1,软件大道,天隆寺,378,1439
1,花神庙,软件大道,376,1437
1,南京南站,花神庙,373,1434
1,双龙大道,南京南站,370,1430
1,河定桥,双龙大道,368,1428
1,胜太路,河定桥,366,1426
1,百家湖,胜太路,364,1424
1,小龙湾,百家湖,361,1422
1,竹山路,小龙湾,359,1419
1,天印大道,竹山路,357,1417
1,龙眠大道,天印大道,354,1415
1,江苏经贸学院,龙眠大道,352,1412
1,南京交院,江苏经贸学院,349,1409
1,中国药科大学,南京交院,347,1407
2,油坊桥,雨润大街,360,1380
2,雨润大街,元通,363,1384
2,元通,奥体东,365,1386
2,奥体东,兴隆大街,367,1388
