line_id,station_id,first_time,end_name,first_time2,end_name2
530100021492,530100021490015,06:46,22:27,07:05,22:45
530100021492,530100021492018,06:48,22:30,07:02,22:42
530100021492,530100021492017,06:51,22:32,07:00,22:40
530100021492,530100021492016,06:52,22:34,06:58,22:38
530100021492,530100021492015,06:54,22:36,06:56,22:36
530100021492,530100021492014,06:57,22:39,06:53,22:33
530100021492,530100021492013,07:00,22:41,06:51,22:31
530100021492,530100021492012,07:02,22:44,06:48,22:28
530100021492,530100021492011,07:05,22:46,06:46,22:26
530100021492,530100021492010,07:07,22:49,06:44,22:24
530100021492,530100021492009,07:10,22:52,06:41,22:21
530100021492,530100021492008,07:13,22:55,06:37,22:17
530100021492,530100021492007,07:18,23:00,06:32,22:12
530100021492,530100021492006,07:20,23:02,06:30,22:10
530100021492,530100021492005,07:22,23:04,06:28,22:08
530100021492,530100021492004,07:24,23:06,06:26,22:06
530100021492,530100021492003,07:26,23:09,06:24,22:04
530100021492,530100021492002,--:--,--:--,06:20,22:00
900000066456,530100021492007,06:28,23:21,--:--,--:--
900000066456,900000066456002,06:32,23:25,06:27,22:27
900000066456,900000066456003,06:34,23:27,06:24,22:25
900000066456,900000066456004,06:37,23:30,06:22,22:22
900000066456,900000066456005,--:--,--:--,06:20,22:20
530100021490,530100021490015,07:05,22:45,06:46,22:27
530100021490,530100021490014,07:08,22:48,06:44,22:25
530100021490,530100021490013,07:10,22:50,06:42,22:23
530100021490,530100021490012,07:11,22:51,06:40,22:21
530100021490,530100021490011,07:13,22:53,06:39,22:19
530100021490,530100021490010,07:15,22:55,06:37,22:17
530100021490,530100021490009,07:17,22:57,06:34,22:15
530100021490,530100021490008,07:20,23:00,06:32,22:13
530100021490,530100021490007,07:22,23:02,06:30,22:11
530100021490,530100021490006,07:24,23:04,06:28,22:08
530100021490,530100021490005,07:26,23:06,06:26,22:06
530100021490,530100021490004,07:28,23:08,06:24,22:04
530100021490,530100021490003,07:30,23:10,06:22,22:02
530100021490,530100021490002,--:--,--:--,06:20,22:00
900000040209,900000040209018,--:--,--:--,--:--,--:--
900000040209,900000040209019,--:--,--:--,--:--,--:--
900000040209,900000040209020,--:--,--:--,--:--,--:--
900000040209,900000040209001,--:--,--:--,--:--,--:--
900000040209,900000040209002,--:--,--:--,--:--,--:--
900000040209,900000040209003,--:--,--:--,--:--,--:--
900000040209,900000040209004,--:--,--:--,--:--,--:--
900000040209,900000040209005,--:--,--:--,--:--,--:--
900000040209,900000040209006,--:--,--:--,--:--,--:--
900000040209,900000040209007,--:--,--:--,--:--,--:--
900000040209,900000040209008,--:--,--:--,--:--,--:--
900000040209,900000040209009,--:--,--:--,--:--,--:--
900000040209,900000040209010,--:--,--:--,--:--,--:--
900000040209,530100021490013,--:--,--:--,--:--,--:--
900000040209,900000040209012,--:--,--:--,--:--,--:--
900000040209,900000040209013,--:--,--:--,--:--,--:--
900000040209,900000040209014,--:--,--:--,--:--,--:--
900000040209,900000040209015,--:--,--:--,--:--,--:--
900000040209,900000040209016,--:--,--:--,--:--,--:--
900000040209,530100020528002,--:--,--:--,--:--,--:--
530100020528,530100020528005,06:20,22:20,--:--,--:--
530100020528,530100020528004,--:--,--:--,--:--,--:--
530100020528,530100020528003,--:--,--:--,--:--,--:--
530100020528,530100020528002,--:--,--:--,06:20,22:20
