line_id,station_id,first_time,end_name,first_time2,end_name2
330201,33020050,--:--,--:--,6:00,22:00
330201,33020049,6:29,23:07,6:02,22:02
330201,33020048,6:27,23:05,6:04,22:04
330201,33020047,6:24,23:02,6:07,22:07
330201,33020046,6:20,22:59,6:10,22:10
330201,33020045,6:17,22:55,6:13,22:13
330201,33020044,6:11,22:49,6:20,22:20
330201,33020043,6:06,22:44,6:25,22:25
330201,33020042,6:02,22:40,6:29,22:29
330201,33020020,6:00,22:38,6:00,22:31
330201,33020019,6:35,22:35,6:02,22:33
330201,33020018,6:33,22:33,6:04,22:35
330201,33020017,6:31,22:31,6:06,22:37
330201,33020016,6:29,22:29,6:08,22:40
330201,33020015,6:27,22:27,6:10,22:41
330201,33020014,6:25,22:25,6:12,22:44
330201,33020013,6:23,22:23,6:14,22:45
330201,33020012,6:22,22:22,6:15,22:47
330201,33020011,6:20,22:20,6:17,22:49
330201,33020010,6:18,22:18,6:19,22:51
330201,33020009,6:16,22:16,6:21,22:53
330201,33020008,6:14,22:14,6:23,22:54
330201,33020007,6:12,22:12,6:25,22:56
330201,33020006,6:10,22:10,6:27,22:58
330201,33020005,6:08,22:08,6:29,23:01
330201,33020004,6:06,22:06,6:31,23:03
330201,33020003,6:04,22:04,6:33,23:05
330201,33020002,6:02,22:02,6:35,23:07
330201,33020001,6:00,22:00,--:--,--:--
330202,33020041,--:--,--:--,6:00,22:00
330202,33020040,6:45,22:45,6:03,22:03
330202,33020039,6:43,22:43,6:06,22:06
330202,33020038,6:41,22:41,6:08,22:08
330202,33020037,6:38,22:38,6:10,22:10
330202,33020036,6:36,22:36,6:13,22:13
330202,33020035,6:33,22:33,6:15,22:15
330202,33020034,6:31,22:31,6:17,22:17
330202,33020033,6:29,22:29,6:19,22:19
330202,33020032,6:27,22:27,6:22,22:22
330202,33020031,6:24,22:24,6:24,22:24
330202,33020010,6:23,22:23,6:26,22:26
330202,33020030,6:20,22:20,6:29,22:29
330202,33020029,6:18,22:18,6:31,22:31
330202,33020028,6:16,22:16,6:33,22:33
330202,33020027,6:14,22:14,6:35,22:35
330202,33020026,6:12,22:12,6:37,22:37
330202,33020025,6:10,22:10,6:39,22:39
330202,33020024,6:07,22:07,6:42,22:42
330202,33020023,6:05,22:05,6:43,22:43
330202,33020022,6:03,22:03,6:46,22:46
330202,33020021,6:00,22:00,--:--,--:--
