station_name,number
西朗,1
坑口,2
花地湾,3
芳村,4
黄沙,5
长寿路,6
陈家祠,7
西门口,8
公园前,9
农讲所,10
烈士陵园,11
东山口,12
杨箕,13
体育西路,14
体育中心,15
广州东站,16
广州南站,17
石壁,18
会江,19
南浦,20
洛溪,21
南洲,22
东晓南,23
江泰路,24
昌岗,25
江南西,26
市二宫,27
海珠广场,28
纪念堂,29
越秀公园,30
广州火车站,31
三元里,32
飞翔公园,33
白云公园,34
白云文化广场,35
萧岗,36
江夏,37
黄边,38
嘉禾望岗,39
番禺广场,40
市桥,41
汉溪长隆,42
大石,43
厦滘,44
沥滘,45
大塘,46
客村,47
广州塔,48
珠江新城,49
石牌桥,50
岗顶,51
华师,52
五山,53
天河客运站,54
林和西,55
燕塘,56
梅花园,57
京溪南方医院,58
同和,59
永泰,60
白云大道北,61
龙归,62
人和,63
机场南,64
金洲,65
蕉门,66
黄阁,67
黄阁汽车城,68
东涌,69
低涌,70
海傍,71
石碁,72
新造,73
大学城南,74
大学城北,75
官洲,76
万胜围,77
车陂南,78
车陂,79
黄村,80
滘口,81
坦尾,82
中山八,83
西场,84
西村,85
小北,86
淘金,87
区庄,88
动物园,89
五羊邨,90
猎德,91
潭村,92
员村,93
科韵路,94
东圃,95
三溪,96
鱼珠,97
大沙地,98
大沙东,99
文冲,100
浔峰岗,101
横沙,102
沙贝,103
河沙,104
如意坊,105
文化公园,106
一德路,107
北京路,108
团一大广场,109
东湖,110
黄花岗,111
沙河顶,112
天平架,113
长湴,114
植物园,115
龙洞,116
柯木塱,117
高塘石,118
黄陂,119
金峰,120
暹岗,121
苏元,122
萝岗,123
香雪,124
谢村,125
钟村,126
南村万博,127
员岗,128
板桥,129
凤凰新村,130
沙园,131
宝岗大道,132
晓港,133
中大,134
鹭江,135
赤岗,136
磨碟沙,137
新港东,138
琶洲,139
新城东,140
东平,141
世纪莲,142
澜石,143
魁奇路,144
季华园,145
同济路,146
祖庙,147
普君北路,148
朝安,149
桂城,150
南桂路,151
虫雷 岗,152
千灯湖,153
金融高新区,154
龙溪,155
菊树,156
鹤洞,157
沙涌,158
燕岗,159
海心沙,160
大剧院,161
花城大道,162
妇儿中心,163
黄埔大道,164
天河南,165
体育中心南,166
