line,from_station,to_station,first_time,last_time
1,坑口,西朗,389,1440
1,花地湾,坑口,387,1438
1,芳村,花地湾,385,1435
1,黄沙,芳村,383,1433
1,长寿路,黄沙,381,1431
1,陈家祠,长寿路,379,1428
1,西门口,陈家祠,377,1426
1,公园前,西门口,375,1424
1,农讲所,公园前,382,1422
1,烈士陵园,农讲所,380,1420
1,东山口,烈士陵园,378,1418
1,杨箕,东山口,376,1416
1,体育西路,杨箕,374,1414
1,体育中心,体育西路,372,1412
1,广州东站,体育中心,370,1410
1,西朗,坑口,360,1375
1,坑口,花地湾,362,1377
1,花地湾,芳村,364,1378
1,芳村,黄沙,366,1380
1,黄沙,长寿路,368,1383
1,长寿路,陈家祠,370,1384
1,陈家祠,西门口,372,1386
1,西门口,公园前,374,1388
1,公园前,农讲所,370,1390
1,农讲所,烈士陵园,372,1392
1,烈士陵园,东山口,374,1394
1,东山口,杨箕,376,1396
1,杨箕,体育西路,378,1398
1,体育西路,体育中心,380,1400
1,体育中心,广州东站,382,1402
2,石壁,广州南站,386,1457
2,会江,石壁,383,1454
2,南浦,会江,380,1451
2,洛溪,南浦,378,1449
2,南洲,洛溪,375,1447
2,东晓南,南洲,388,1445
2,江泰路,东晓南,386,1443
2,昌岗,江泰路,384,1441
2,江南西,昌岗,382,1439
2,市二宫,江南西,381,1437
2,海珠广场,市二宫,379,1435
2,公园前,海珠广场,376,1432
2,纪念堂,公园前,375,1430
2,越秀公园,纪念堂,373,1428
2,广州火车站,越秀公园,371,1426
2,三元里,广州火车站,370,1425
2,飞翔公园,三元里,373,1422
2,白云公园,飞翔公园,371,1420
2,白云文化广场,白云公园,369,1418
2,萧岗,白云文化广场,367,1416
2,江夏,萧岗,365,1414
2,黄边,江夏,363,1412
2,嘉禾望岗,黄边,360,1410
2,广州南站,石壁,360,1410
2,石壁,会江,362,1411
2,会江,南浦,365,1415
2,南浦,洛溪,368,1416
2,洛溪,南洲,370,1419
2,南洲,东晓南,373,1422
2,东晓南,江泰路,375,1424
2,江泰路,昌岗,370,1427
2,昌岗,江南西,372,1429
2,江南西,市二宫,374,1431
2,市二宫,海珠广场,376,1432
2,海珠广场,公园前,378,1435
2,公园前,纪念堂,372,1437
2,纪念堂,越秀公园,374,1439
2,越秀公园,广州火车站,376,1441
2,广州火车站,三元里,378,1443
2,三元里,飞翔公园,370,1445
2,飞翔公园,白云公园,372,1447
2,白云公园,白云文化广场,374,1449
2,白云文化广场,萧岗,376,1451
2,萧岗,江夏,378,1453
2,江夏,黄边,381,1454
2,黄边,嘉禾望岗,383,1456
3,市桥,番禺广场,377,1443
3,汉溪长隆,市桥,372,1438
3,大石,汉溪长隆,369,1435
3,厦滘,大石,386,1433
3,沥滘,厦滘,384,1431
3,大塘,沥滘,380,1428
3,客村,大塘,378,1426
3,广州塔,客村,376,1424
3,珠江新城,广州塔,374,1422
3,体育西路,珠江新城,372,1420
3,石牌桥,体育西路,379,1418
3,岗顶,石牌桥,377,1416
3,华师,岗顶,375,1414
3,五山,华师,373,1412
3,天河客运站,五山,370,1410
3,番禺广场,市桥,360,1375
3,市桥,汉溪长隆,363,1377
3,汉溪长隆,大石,369,1382
3,大石,厦滘,372,1385
3,厦滘,沥滘,375,1387
3,沥滘,大塘,365,1389
3,大塘,客村,367,1392
