序号,景区名称,等级,地址
1,故宫博物院,5A,景山前街4号
2,天坛公园,5A,天坛内东里7号天坛公园管理处
3,恭王府,5A,柳荫街甲14号
4,北京市奥林匹克公园,5A,朝阳区北辰东路15号
5,颐和园,5A,新建宫门路19号
6,十三陵,5A,十三陵特区办事处
7,慕田峪长城,5A,渤海镇慕田峪村
8,八达岭长城风景名胜区,5A,八达岭特区办事处
9,孔庙/国子监,4A,国子监街13号/15号
10,北京市规划展览馆,4A,前门东大街20号
11,龙潭公园,4A,龙潭路8号
12,明城墙遗址公园,4A,崇文门东大街东便门9号
13,中山公园,4A,中华路4号
14,地坛公园,4A,安定门外大街200号
15,什刹海风景区,4A,羊房胡同甲23号
16,北海公园,4A,文津街1号
17,北京动物园,4A,西直门外大街137号
18,北京海洋馆,4A,高梁桥斜街乙18号
19,景山公园,4A,景山西街44号
20,首都博物馆,4A,复兴门外大街16号
21,陶然亭公园,4A,太平街19号
22,北京天文馆,4A,西直门外大街138号
23,北京欢乐谷,4A,东四环小武基北路
24,中国紫檀博物馆,4A,兴隆西街9号
25,元大都城垣遗址公园,4A,太阳宫芍药居甲8号
26,朝阳公园,4A,农展南路1号
27,蟹岛绿色生态农庄,4A,金盏乡蟹岛路1号
28,圆明园遗址公园,4A,清华西路28号
29,北京市植物园,4A,北京市植物园(卧佛寺)
30,香山公园,4A,香山公园买卖街40号
31,中央广播电视塔,4A,西三环中路11号
32,紫竹院公园,4A,中关村南大街35号
33,玉渊潭公园,4A,西三环中路10号
34,凤凰岭自然风景区,4A,苏家坨镇凤凰岭路19号
35,世界公园,4A,花乡大葆台158号
36,南宫旅游景区,4A,王佐镇长青路99号
37,北宫国家森林公园,4A,长辛店镇大灰厂东路55号
38,世界花卉大观园,4A,草桥南四环北侧
39,中国人民抗日战争纪念馆,4A,卢沟桥宛平城内街101号
40,北京汽车博物馆,4A,南四环西路126号
41,北京园博园,4A,丰台区射击场路15号
42,八大处公园,4A,八大处公园管理处
43,石景山游乐园,4A,石景山路25号
44,潭柘寺,4A,潭柘寺镇潭柘寺管理处
45,戒台寺,4A,永定镇戒台寺管理处
46,云居寺,4A,大石窝镇水头村云居寺管理处
47,石花洞,4A,河北镇南车营村石花洞管理处
48,周口店遗址博物馆,4A,周口店大街1号
49,北京十渡风景名胜区,4A,十渡镇人民政府管委会
50,圣莲山旅游度假区,4A,史家营乡柳林水村
51,通州大运河森林旅游区,4A,宋梁路北运河桥南
52,北京韩美林艺术馆,4A,梨园镇九棵树东路68号
53,北京奥林匹克水上公园,4A,白马路19号
54,北京顺义国际鲜花港,4A,杨镇红寺村北1000米
55,居庸关长城,4A,南口镇居庸关村居庸关管理处
56,中国航空博物馆,4A,小汤山镇航空博物馆
57,龙脉温泉度假村,4A,小汤山镇龙脉温泉度假村
58,小汤山现代农业示范园区,4A,小汤山镇后蔺沟村
59,温都水城,4A,北七家镇宏福创业园
60,银山塔林风景区,4A,兴寿镇西湖村银山塔林管理处
61,绿野晴川野生动物园,4A,榆垡镇万亩林
62,北京平谷青龙山旅游区,4A,东高村镇大旺务村
63,金海湖风景区,4A,韩庄镇东
64,京东石林峡风景区,4A,黄松峪乡刁窝村
65,北京丫髻山道教文化名胜区,4A,刘家店镇北吉山村北吉山大街39号
66,京东大峡谷旅游区,4A,山东庄镇鱼子山村
67,红螺寺,4A,怀柔红螺东路2号
68,雁栖湖旅游区,4A,怀北雁水路3号
69,青龙峡旅游度假区,4A,怀北镇大水峪水库管理处
70,北京黄花城水长城旅游区,4A,九渡河镇西水峪村
71,司马台长城景区,4A,古北口镇司马台村北
72,黑龙潭旅游区,4A,石城镇大关桥
73,桃源仙谷自然风景区,4A,石城镇南石城村
74,北京张裕爱菲堡国际酒庄,4A,巨各庄镇东白岩村
75,龙庆峡旅游区,4A,旧县镇古城村北
76,八达岭水关长城景区,4A,八达岭镇石佛寺村
77,延庆百里山水画廊景区,4A,延庆县千家店镇
78,野鸭湖国家湿地公园,4A,康庄镇刘浩营村西
79,松山森林旅游区,4A,张山营镇松山自然保护区
80,世界葡萄博览中心景区,4A,张山营镇下芦凤营村
81,南新仓文化休闲街景区,3A,东四十条21号
82,前门大街景区,3A,前门大街16号
83,青年湖公园,3A,东城区青年湖南街15号
84,中国地质博物馆,3A,西四羊肉胡同15号
85,北京月坛公园,3A,月坛北街甲6号
86,北京古钱币展览馆,3A,德胜门东大街9号
87,北京大观园,3A,南菜园街12号
88,北京湖广会馆大戏楼,3A,虎坊路3号
89,北京老舍茶馆,3A,前门西大街3号楼
90,大观楼影城,3A,前门大栅栏街36号
91,北京市宣南文化博物馆,3A,长椿街9号
92,北京市宣武艺园,3A,槐柏树街12号
93,北京市大栅栏商业街区,3A,廊坊二条44号
94,宋庆龄故居,3A,后海北沿46号
95,金中都公园,3A,白纸坊桥南护城河西岸
96,日坛公园,3A,朝外日坛北路6号
97,团结湖公园,3A,团结湖南里16号
98,红领巾公园,3A,后八里庄5号
99,北京蓝色港湾,3A,朝阳公园路6号
100,北京蓝调庄园,3A,金盏乡楼梓庄村
101,古塔公园,3A,四营乡高碑店路
102,兴隆公园,3A,高碑店乡兴隆庄甲8号
103,将府公园,3A,将台乡东八间房村临甲10号
104,大望京公园,3A,望京东路甲6号
105,庆丰公园,3A,厂坡村甲2号
106,北小河公园,3A,师家坟村156号
107,四得公园,3A,将台西路9号
108,白鹿公园,3A,王四营乡白鹿公园
109,北京陶瓷艺术馆,3A,十里河大羊坊路37号闽龙广场四层
110,太平洋海底世界博览馆,3A,西三环中路11号中央塔下
111,百望山森林公园,3A,黑山扈北口19号
112,鹫峰森林公园,3A,苏家坨镇北安河村西
113,北京龙徽葡萄酒博物馆,3A,玉泉路2号
