序号,星级,单位,传真,电话,地址,邮编,许可日期
1,5A,伪满皇宫博物院,82882344,82860547,长春市光复北路5号,130051,39083
2,5A,长春净月潭国家森林公园,84511595,84513521,长春市净月大街5860号,130117,40544
3,5A,长影世纪城,84550055,84550088,长春市长双公路4.5公里,130122,42186
4,5A,长春世界雕塑公园,85379051,85379008,长春市人民大街9518号,130022,37987
5,4A,长春莲花山滑雪场,84803333,84803222,长春市二道区四家乡,130126,38718
6,4A,长春北湖国家湿地公园,89368286,89368287,长春市高新北区龙湖大路与环湖路交汇,130102,41785
7,4A,长春孔子文化园,88752614,88752614,长春市南关区东天街239号,130041,41785
8,4A,长春农业博览园,81985100,81985100,长春市净月大街4775号,130117,41785
9,4A,庙香山休闲旅游度假区,89590555,89590555,九台市波泥河镇,30500,41695
10,4A,长春御龙温泉度假村,84280000,84289930,双阳区平湖街道办事处杨家村2社,130600,41785
11,4A,长春关东文化园,87893355,87893366;87893399,长春市绿园区长白公路与西四环路交汇北行1公里,130000,41785
12,4A,东北民族民俗馆,89165507,89165518,长春市经济技术开发区卫星路98号 499193376,130033,41845
13,4A,长春市动植物公园,85642691,81902323,长春市自由大路25号,130041,41845
14,4A,吉林省酒文化博物馆,89855577,89855566,长春市亚泰大街9699号,130022,41845
15,4A,长影旧址博物馆,89236888,89236888,长春市朝阳区红旗街1118区,130021,42005
16,4A,长春市天怡温泉度假山庄,81206111,89126333,长春市净月开发区新湖镇东盛屯金家沟,130117,42005
17,3A,吉林省自然村,85597302,85597305,长春市朝阳区永春镇,130115,39083
18,3A,长春吊水壶国家森林公园,,84358001,双阳区山河街道办事处柳树村五社,130600,40364
19,3A,吉林省剑鹏马城,,84527757,农安县华家镇,130200,41848
20,3A,石头口门水库国家水利风景区,,18743109876,九台市西营城镇,130524,41988
21,3A,八台岭古驿村落景区,,13610709577,九台市沐石河镇桦树村七社,130500,41623
22,3A,农安辽塔游园景区,,15944177778,吉林省农安县农安镇宝塔街,130200,41251
23,3A,绿宝石山庄,,13634405769,双阳区山河街道办事处阳平村1社,130600,41791
24,3A,缘山湖生态园,,84133080,双阳区鹿乡镇石灰村11社,130600,41791
25,3A,金穗山庄,,13504408427,九台市土们岭镇,130500,41791
26,3A,长春天下一家生态养生村,,84893333,莲花山生态旅游度假区劝农山镇,130305,41988
27,2A,财福林休闲度假村,,82154475,九台市沐石河镇卢家村,130500,41791
28,2A,牛头山水库,,15543535959,九台市其塔木镇双城村,130500,41791
29,2A,新洲公园,,82359061,九台市福临大街新洲小区,130500,41791
30,2A,吉林省农民收藏博物馆,,13756427929,九台市其塔木镇刘家村,130500,41791
31,2A,绿岛生存旅游岛,,18743005777,九台市土们岭镇,130500,41487
32,2A,绿野湖畔度假村,,13331584567,九台市九德公路12公里,130500,41487
33,2A,吉林大学地质博物馆,88502476,88502245,长春市朝阳区西民主大街938号,130026,37987
34,2A,桃山梨园,,15944136321,九台市城子街镇桃山村,130500,41791
35,2A,明达山庄,,13134310555,九台市卡伦镇任家村,130500,41913
36,2A,雨航山庄,82402666,82402555,九台市西营城烧锅村7队,130500,41913
37,2A,吉海休闲度假村,83669888,83669777,榆树市工农大路,130400,41939
38,2A,小乡旅游区,83944019,83944019,榆树市土桥镇街道,130431,41940
39,2A,南山公园,,82359061,九台市内三中对面,130500,41791
40,1A,长春龙福缘田园观光旅游度假村,,13756120777,九台市龙家镇草城村三社,130500,39934
41,1A,青云寺,,82324296,九台市沿河街,130500,39961
42,1A,浴泉庵,,82322191,九台市新华大街,130500,39961
43,1A,溪桥游园,,82359061,九台市长通路三中左侧,130500,39965
44,1A,红豆杉庄园,,15044189999,九台市波泥河镇平安堡,130500,39965
45,1A,九台明达生态园,,13844969798,九台市九榆公路约三公里处,130500,41518
