station_name,number
 汉口北 ,1
 滠口新城 ,2
 藤子岗 ,3
 堤角 ,4
 新荣 ,5
 丹水池 ,6
 徐洲新村 ,7
 二七路 ,8
 头道街 ,9
 黄浦路 ,10
 三阳路 ,11
 大智路 ,12
 循礼门 ,13
 友谊路 ,14
 利济北路 ,15
 崇仁路 ,16
 硚口路 ,17
 太平洋 ,18
 宗关 ,19
 汉西一路 ,20
 古田四路 ,21
 古田三路 ,22
 古田二路 ,23
 古田一路 ,24
 舵落口 ,25
 竹叶海 ,26
 额头湾 ,27
 五环大道 ,28
 东吴大道 ,29
 光谷广场 ,30
 杨家湾 ,31
 虎泉 ,32
 广埠屯 ,33
 街道口 ,34
 宝通寺 ,35
 中南路 ,36
 洪山广场 ,37
 小龟山 ,38
 螃蟹岬 ,39
 积玉桥 ,40
 江汉路 ,41
 中山公园 ,42
 青年路 ,43
 王家墩东 ,44
 范湖 ,45
 汉口火车站 ,46
 长港路 ,47
 常青花园 ,48
 金银潭 ,49
 常青城 ,50
 宏图大道 ,51
 盘龙城 ,52
 巨龙大道 ,53
 宋家岗 ,54
 航空总部 ,55
 天河机场 ,56
 市民之家 ,57
 后湖大道 ,58
 兴业路 ,59
 二七小路 ,60
 罗家庄 ,61
 赵家条 ,62
 惠济二路 ,63
 香港路 ,64
 菱角湖路 ,65
 云飞路 ,66
 武汉商务区 ,67
 双墩 ,68
 王家湾 ,69
 龙阳村 ,70
 陶家岭 ,71
 四新大道 ,72
 汉阳客运站 ,73
 三角湖 ,74
 体育中心 ,75
 东风公司 ,76
 沌阳大道 ,77
 武汉火车站 ,78
 杨春湖 ,79
 工业四路 ,80
 仁和路 ,81
 园林路 ,82
 罗家港 ,83
 铁机路 ,84
 岳家嘴 ,85
 东亭 ,86
 青鱼嘴 ,87
 楚河汉街 ,88
 梅苑小区 ,89
 武昌火车站 ,90
 首义路 ,91
 复兴路 ,92
 拦江路 ,93
 钟家村 ,94
 汉阳火车站 ,95
 五里墩 ,96
 七里庙 ,97
 十里铺 ,98
 玉龙路 ,99
 永安堂 ,100
 孟家铺 ,101
 黄金口 ,102
 车城东路 ,103
 江城大道 ,104
 老关村 ,105
 国博中心南 ,106
 国博中心北 ,107
 前进村 ,108
 建港 ,109
 马鹦路 ,110
 琴台 ,111
 武胜路 ,112
 汉正街 ,113
 六渡桥 ,114
 苗栗路 ,115
 三眼桥 ,116
 唐家墩 ,117
 石桥 ,118
 杨汊湖 ,119
 轻工大学 ,120
 园博园北 ,121
 金银湖 ,122
 金银湖公园 ,123
