line,from_station,to_station,first_time,last_time
1, 汉口北 , 滠口新城 ,360,1350
1, 滠口新城 , 藤子岗 ,360,1354
1, 藤子岗 , 堤角 ,362,1356
1, 堤角 , 新荣 ,364,1358
1, 新荣 , 丹水池 ,360,1361
1, 丹水池 , 徐洲新村 ,362,1363
1, 徐洲新村 , 二七路 ,365,1366
1, 二七路 , 头道街 ,360,1368
1, 头道街 , 黄浦路 ,361,1370
1, 黄浦路 , 三阳路 ,360,1372
1, 三阳路 , 大智路 ,362,1375
1, 大智路 , 循礼门 ,360,1377
1, 循礼门 , 友谊路 ,360,1379
1, 友谊路 , 利济北路 ,362,1382
1, 利济北路 , 崇仁路 ,360,1384
1, 崇仁路 , 硚口路 ,362,1386
1, 硚口路 , 太平洋 ,360,1388
1, 太平洋 , 宗关 ,362,1390
1, 宗关 , 汉西一路 ,360,1393
1, 汉西一路 , 古田四路 ,362,1395
1, 古田四路 , 古田三路 ,363,1397
1, 古田三路 , 古田二路 ,360,1399
1, 古田二路 , 古田一路 ,362,1401
1, 古田一路 , 舵落口 ,364,1403
1, 舵落口 , 竹叶海 ,360,1406
1, 竹叶海 , 额头湾 ,362,1408
1, 额头湾 , 五环大道 ,363,1409
1, 五环大道 , 东吴大道 ,360,1412
1, 东吴大道 , 五环大道 ,360,1350
1, 五环大道 , 额头湾 ,362,1352
1, 额头湾 , 竹叶海 ,365,1355
1, 竹叶海 , 舵落口 ,360,1357
1, 舵落口 , 古田一路 ,361,1359
1, 古田一路 , 古田二路 ,364,1362
1, 古田二路 , 古田三路 ,366,1365
1, 古田三路 , 古田四路 ,360,1366
1, 古田四路 , 汉西一路 ,361,1368
1, 汉西一路 , 宗关 ,363,1370
1, 宗关 , 太平洋 ,360,1372
1, 太平洋 , 硚口路 ,362,1375
1, 硚口路 , 崇仁路 ,364,1377
1, 崇仁路 , 利济北路 ,367,1379
1, 利济北路 , 友谊路 ,360,1382
1, 友谊路 , 循礼门 ,362,1384
1, 循礼门 , 大智路 ,364,1386
1, 大智路 , 三阳路 ,360,1388
1, 三阳路 , 黄浦路 ,362,1391
1, 黄浦路 , 头道街 ,364,1393
1, 头道街 , 二七路 ,360,1395
1, 二七路 , 徐洲新村 ,361,1397
1, 徐洲新村 , 丹水池 ,363,1399
1, 丹水池 , 新荣 ,366,1402
1, 新荣 , 堤角 ,360,1404
1, 堤角 , 藤子岗 ,362,1407
1, 藤子岗 , 滠口新城 ,364,1409
1, 滠口新城 , 汉口北 ,360,1411
2, 光谷广场 , 杨家湾 ,360,1350
2, 杨家湾 , 虎泉 ,362,1352
2, 虎泉 , 广埠屯 ,360,1355
2, 广埠屯 , 街道口 ,363,1358
2, 街道口 , 宝通寺 ,360,1360
2, 宝通寺 , 中南路 ,362,1363
2, 中南路 , 洪山广场 ,360,1365
2, 洪山广场 , 小龟山 ,362,1368
2, 小龟山 , 螃蟹岬 ,360,1370
2, 螃蟹岬 , 积玉桥 ,362,1372
2, 积玉桥 , 江汉路 ,365,1375
2, 江汉路 , 循礼门 ,360,1380
2, 循礼门 , 中山公园 ,362,1382
2, 中山公园 , 青年路 ,360,1385
2, 青年路 , 王家墩东 ,362,1388
2, 王家墩东 , 范湖 ,364,1390
2, 范湖 , 汉口火车站 ,360,1392
2, 汉口火车站 , 长港路 ,362,1395
2, 长港路 , 常青花园 ,365,1398
2, 常青花园 , 金银潭 ,368,1401
2, 金银潭 , 常青城 ,360,1403
2, 常青城 , 宏图大道 ,363,1406
2, 宏图大道 , 盘龙城 ,367,1410
2, 盘龙城 , 巨龙大道 ,372,1415
2, 巨龙大道 , 宋家岗 ,360,1418
2, 宋家岗 , 航空总部 ,362,1421
2, 航空总部 , 天河机场 ,365,1424
2, 天河机场 , 航空总部 ,360,1350
2, 航空总部 , 宋家岗 ,360,1356
2, 宋家岗 , 巨龙大道 ,363,1359
2, 巨龙大道 , 盘龙城 ,365,1362
2, 盘龙城 , 宏图大道 ,360,1364
2, 宏图大道 , 常青城 ,360,1369
2, 常青城 , 金银潭 ,364,1374
2, 金银潭 , 常青花园 ,360,1377
2, 常青花园 , 长港路 ,362,1379
2, 长港路 , 汉口火车站 ,360,1382
2, 汉口火车站 , 范湖 ,360,1385
2, 范湖 , 王家墩东 ,362,1387
2, 王家墩东 , 青年路 ,360,1390
2, 青年路 , 中山公园 ,360,1392
2, 中山公园 , 循礼门 ,362,1394
2, 循礼门 , 江汉路 ,360,1398
2, 江汉路 , 积玉桥 ,360,1400
2, 积玉桥 , 螃蟹岬 ,360,1405
2, 螃蟹岬 , 小龟山 ,360,1408
2, 小龟山 , 洪山广场 ,360,1409
2, 洪山广场 , 中南路 ,362,1412
2, 中南路 , 宝通寺 ,360,1414
2, 宝通寺 , 街道口 ,360,1417
2, 街道口 , 广埠屯 ,362,1420
2, 广埠屯 , 虎泉 ,360,1422
2, 虎泉 , 杨家湾 ,360,1425
2, 杨家湾 , 光谷广场 ,360,1428
3, 宏图大道 , 市民之家 ,360,1350
3, 市民之家 , 后湖大道 ,363,1353
3, 后湖大道 , 兴业路 ,366,1356
3, 兴业路 , 二七小路 ,368,1358
3, 二七小路 , 罗家庄 ,360,1361
3, 罗家庄 , 赵家条 ,362,1363
3, 赵家条 , 惠济二路 ,364,1365
3, 惠济二路 , 香港路 ,366,1367
3, 香港路 , 菱角湖路 ,368,1369
3, 菱角湖路 , 范湖 ,360,1371
3, 范湖 , 云飞路 ,363,1374
3, 云飞路 , 武汉商务区 ,365,1376
3, 武汉商务区 , 双墩 ,367,1378
3, 双墩 , 宗关 ,360,1381
3, 宗关 , 王家湾 ,362,1384
3, 王家湾 , 龙阳村 ,366,1388
3, 龙阳村 , 陶家岭 ,369,1390
3, 陶家岭 , 四新大道 ,371,1392
3, 四新大道 , 汉阳客运站 ,373,1394
3, 汉阳客运站 , 三角湖 ,360,1396
3, 三角湖 , 体育中心 ,362,1399
3, 体育中心 , 东风公司 ,365,1402
3, 东风公司 , 沌阳大道 ,367,1404
3, 沌阳大道 , 东风公司 ,360,1350
3, 东风公司 , 体育中心 ,362,1352
3, 体育中心 , 三角湖 ,364,1354
3, 三角湖 , 汉阳客运站 ,367,1357
3, 汉阳客运站 , 四新大道 ,369,1359
3, 四新大道 , 陶家岭 ,371,1361
3, 陶家岭 , 龙阳村 ,374,1364
3, 龙阳村 , 王家湾 ,360,1366
3, 王家湾 , 宗关 ,362,1368
3, 宗关 , 双墩 ,367,1372
3, 双墩 , 武汉商务区 ,369,1375
3, 武汉商务区 , 云飞路 ,372,1378
3, 云飞路 , 范湖 ,360,1380
3, 范湖 , 菱角湖路 ,362,1382
3, 菱角湖路 , 香港路 ,365,1385
3, 香港路 , 惠济二路 ,367,1387
3, 惠济二路 , 赵家条 ,369,1389
3, 赵家条 , 罗家庄 ,371,1391
3, 罗家庄 , 二七小路 ,373,1393
3, 二七小路 , 兴业路 ,360,1395
3, 兴业路 , 后湖大道 ,363,1398
3, 后湖大道 , 市民之家 ,365,1400
3, 市民之家 , 宏图大道 ,368,1403
4, 武汉火车站 , 杨春湖 ,360,1350
4, 杨春湖 , 工业四路 ,361,1351
4, 工业四路 , 仁和路 ,360,1354
4, 仁和路 , 园林路 ,362,1356
4, 园林路 , 罗家港 ,360,1359
4, 罗家港 , 铁机路 ,362,1361
4, 铁机路 , 岳家嘴 ,360,1363
4, 岳家嘴 , 东亭 ,362,1365
4, 东亭 , 青鱼嘴 ,360,1367
4, 青鱼嘴 , 楚河汉街 ,362,1369
4, 楚河汉街 , 洪山广场 ,364,1372
4, 洪山广场 , 中南路 ,360,1374
4, 中南路 , 梅苑小区 ,362,1376
4, 梅苑小区 , 武昌火车站 ,364,1378
4, 武昌火车站 , 首义路 ,367,1381
4, 首义路 , 复兴路 ,360,1383
4, 复兴路 , 拦江路 ,362,1385
4, 拦江路 , 钟家村 ,366,1389
4, 钟家村 , 汉阳火车站 ,360,1391
4, 汉阳火车站 , 五里墩 ,362,1393
4, 五里墩 , 七里庙 ,365,1396
4, 七里庙 , 十里铺 ,360,1398
4, 十里铺 , 王家湾 ,362,1400
4, 王家湾 , 玉龙路 ,364,1402
4, 玉龙路 , 永安堂 ,366,1404
4, 永安堂 , 孟家铺 ,360,1406
4, 孟家铺 , 黄金口 ,362,1409
4, 黄金口 , 孟家铺 ,360,1350
4, 孟家铺 , 永安堂 ,363,1353
4, 永安堂 , 玉龙路 ,360,1355
4, 玉龙路 , 王家湾 ,362,1358
4, 王家湾 , 十里铺 ,360,1360
4, 十里铺 , 七里庙 ,362,1362
4, 七里庙 , 五里墩 ,364,1364
4, 五里墩 , 汉阳火车站 ,366,1366
4, 汉阳火车站 , 钟家村 ,360,1368
4, 钟家村 , 拦江路 ,362,1371
4, 拦江路 , 复兴路 ,364,1373
4, 复兴路 , 首义路 ,368,1377
4, 首义路 , 武昌火车站 ,360,1379
4, 武昌火车站 , 梅苑小区 ,362,1381
4, 梅苑小区 , 中南路 ,360,1383
4, 中南路 , 洪山广场 ,362,1385
4, 洪山广场 , 楚河汉街 ,364,1387
4, 楚河汉街 , 青鱼嘴 ,366,1390
4, 青鱼嘴 , 东亭 ,360,1392
4, 东亭 , 岳家嘴 ,362,1394
4, 岳家嘴 , 铁机路 ,360,1396
4, 铁机路 , 罗家港 ,362,1398
4, 罗家港 , 园林路 ,364,1400
4, 园林路 , 仁和路 ,360,1403
4, 仁和路 , 工业四路 ,362,1405
4, 工业四路 , 杨春湖 ,360,1408
