city,line,line_id,station_name,station_id,langengrad,state,counter
长沙市地铁,1号线,430100020925,开福区政府,430100020925002,"112.985,28.262",1,1
长沙市地铁,1号线,430100020925,马厂,430100020925022,"112.989,28.2512",1,2
长沙市地铁,1号线,430100020925,北辰三角洲,430100020925023,"112.984,28.2362",1,3
长沙市地铁,1号线,430100020925,开福寺,430100020925024,"112.979,28.2223",1,4
长沙市地铁,1号线,430100020925,文昌阁,430100020925006,"112.978,28.2127",1,5
长沙市地铁,1号线,430100020925,培元桥,430100020925007,"112.976,28.2062",1,6
长沙市地铁,1号线,430100020925,五一广场,430100020925008,"112.977,28.1953",1,7
长沙市地铁,1号线,430100020925,黄兴广场,430100020925025,"112.976,28.1894",1,8
长沙市地铁,1号线,430100020925,南门口,430100020925026,"112.976,28.1835",1,9
长沙市地铁,1号线,430100020925,侯家塘,430100020925011,"112.982,28.1738",1,10
长沙市地铁,1号线,430100020925,南湖路,430100020925012,"112.986,28.1662",1,11
长沙市地铁,1号线,430100020925,黄土岭,430100020925027,"112.986,28.1605",1,12
长沙市地铁,1号线,430100020925,涂家冲,430100020925028,"112.985,28.1532",1,13
长沙市地铁,1号线,430100020925,铁道学院,430100020925015,"112.987,28.1362",1,14
长沙市地铁,1号线,430100020925,友谊路,430100020925016,"112.987,28.1236",1,15
长沙市地铁,1号线,430100020925,省政府·清风,430100020925017,"112.988,28.1112",1,16
长沙市地铁,1号线,430100020925,桂花坪,430100020925029,"112.988,28.0992",1,17
长沙市地铁,1号线,430100020925,大托,430100020925030,"112.989,28.0826",1,18
长沙市地铁,1号线,430100020925,中信广场,430100020925031,"112.99,28.0737",1,19
长沙市地铁,1号线,430100020925,尚双塘,430100020925032,"112.992,28.0622",1,20
长沙市地铁,2号线,430100020927,梅溪湖西,430100020927021,"112.882,28.1859",1,21
长沙市地铁,2号线,430100020927,麓云路,430100020927022,"112.892,28.1908",1,22
长沙市地铁,2号线,430100020927,文化艺术中心,430100020927023,"112.9,28.1967",1,23
长沙市地铁,2号线,430100020927,梅溪湖东,430100020927024,"112.908,28.2018",1,24
长沙市地铁,2号线,430100020927,望城坡,430100020927002,"112.915,28.2075",1,25
长沙市地铁,2号线,430100020927,金星路,430100020927003,"112.929,28.206",1,26
长沙市地铁,2号线,430100020927,西湖公园,430100020927004,"112.94,28.2026",1,27
长沙市地铁,2号线,430100020927,溁湾镇,430100020927005,"112.951,28.1976",1,28
长沙市地铁,2号线,430100020927,橘子洲,430100020927006,"112.963,28.1956",1,29
长沙市地铁,2号线,430100020927,湘江中路,430100020927007,"112.969,28.1952",1,30
长沙市地铁,2号线,430100020927,芙蓉广场,430100020927009,"112.985,28.1949",1,31
长沙市地铁,2号线,430100020927,迎宾路口,430100020927010,"112.992,28.1948",1,32
长沙市地铁,2号线,430100020927,袁家岭,430100020927011,"113,28.1945",1,33
长沙市地铁,2号线,430100020927,长沙火车站,430100020927012,"113.011,28.1936",1,34
长沙市地铁,2号线,430100020927,锦泰广场,430100020927013,"113.018,28.1919",1,35
长沙市地铁,2号线,430100020927,万家丽广场,430100020927014,"113.03,28.1915",1,36
长沙市地铁,2号线,430100020927,人民东路,430100020927015,"113.039,28.1842",1,37
长沙市地铁,2号线,430100020927,长沙大道,430100020927016,"113.045,28.168",1,38
长沙市地铁,2号线,430100020927,沙湾公园,430100020927017,"113.045,28.1577",1,39
长沙市地铁,2号线,430100020927,杜花路,430100020927018,"113.056,28.1464",1,40
长沙市地铁,2号线,430100020927,长沙火车南站,430100020927019,"113.065,28.1469",1,41
长沙市地铁,2号线,430100020927,光达,430100020927020,"113.086,28.1481",1,42
长沙市地铁,磁浮快线,900000057211,磁浮机场站,900000057211003,"113.219079,28.191653",1,43
长沙市地铁,磁浮快线,900000057211,磁浮榔梨,900000057211002,"113.133404,28.160617",1,44
长沙市地铁,磁浮快线,900000057211,磁浮高铁站,900000057211001,"113.067434,28.148820",1,45
