city,line,line_id,station_name,station_id,langengrad,state,counter
哈尔滨市地铁,1号线,230100020502,哈南站,230100020502019,"126.621748,45.669922",1,1
哈尔滨市地铁,1号线,230100020502,哈达,230100020502018,"126.618814,45.683208",1,2
哈尔滨市地铁,1号线,230100020502,医大二院,230100020502017,"126.615695,45.697491",1,3
哈尔滨市地铁,1号线,230100020502,黑龙江大学,230100020502016,"126.613592,45.706970",1,4
哈尔滨市地铁,1号线,230100020502,理工大学,230100020502015,"126.611868,45.714853",1,5
哈尔滨市地铁,1号线,230100020502,学府路,230100020502014,"126.609880,45.722457",1,6
哈尔滨市地铁,1号线,230100020502,和兴路,230100020502013,"126.615449,45.732416",1,7
哈尔滨市地铁,1号线,230100020502,西大桥,230100020502012,"126.621115,45.738848",1,8
哈尔滨市地铁,1号线,230100020502,哈工大,230100020502011,"126.627753,45.744564",1,9
哈尔滨市地铁,1号线,230100020502,铁路局,230100020502010,"126.635996,45.751513",1,10
哈尔滨市地铁,1号线,230100020502,博物馆,230100020502009,"126.643793,45.758405",1,11
哈尔滨市地铁,1号线,230100020502,医大一院,230100020502008,"126.650438,45.764078",1,12
哈尔滨市地铁,1号线,230100020502,烟厂,230100020502007,"126.655910,45.768727",1,13
哈尔滨市地铁,1号线,230100020502,工程大学,230100020502006,"126.668068,45.775477",1,14
哈尔滨市地铁,1号线,230100020502,太平桥,230100020502005,"126.677185,45.783569",1,15
哈尔滨市地铁,1号线,230100020502,交通学院,230100020502004,"126.687501,45.787766",1,16
哈尔滨市地铁,1号线,230100020502,桦树街,230100020502003,"126.698039,45.788083",1,17
哈尔滨市地铁,1号线,230100020502,哈东站,230100020502002,"126.709138,45.789336",1,18
哈尔滨市地铁,3号线,900000074906,哈西大街,900000074906004,"126.596866,45.695662",1,19
哈尔滨市地铁,3号线,900000074906,哈尔滨大街,900000074906003,"126.585320,45.701283",1,20
哈尔滨市地铁,3号线,900000074906,哈尔滨西站,900000063815038,"126.579200,45.706279",1,21
