city,line,line_id,station_name,station_id,langengrad,state,counter
合肥市地铁,1号线,900000039731,九联圩,900000039731001,"117.286181,31.691457",1,1
合肥市地铁,1号线,900000039731,丙子铺,900000039731002,"117.297393,31.691450",1,2
合肥市地铁,1号线,900000039731,万年埠,900000039731003,"117.302102,31.698436",1,3
合肥市地铁,1号线,900000039731,万达城,900000039731004,"117.302177,31.705865",1,4
合肥市地铁,1号线,900000039731,云谷路,900000039731005,"117.302353,31.713224",1,5
合肥市地铁,1号线,900000039731,金斗公园,900000039731006,"117.302630,31.723036",1,6
合肥市地铁,1号线,900000039731,塘西河公园,900000039731007,"117.302601,31.731507",1,7
合肥市地铁,1号线,900000039731,紫庐,900000039731008,"117.302627,31.740745",1,8
合肥市地铁,1号线,900000039731,滨湖会展中心,900000039731009,"117.302666,31.754639",1,9
合肥市地铁,1号线,900000039731,高王,900000039731010,"117.291420,31.773139",1,10
合肥市地铁,1号线,900000039731,骆岗,900000039731011,"117.291451,31.783406",1,11
合肥市地铁,1号线,900000039731,南站南广场,900000039731012,"117.291500,31.792643",1,12
合肥市地铁,1号线,900000039731,合肥南站,900000039731013,"117.292104,31.799187",1,13
合肥市地铁,1号线,900000039731,望湖城,900000039731014,"117.292040,31.805361",1,14
合肥市地铁,1号线,900000039731,葛大店,900000039731015,"117.303172,31.814564",1,15
合肥市地铁,1号线,900000039731,秋浦河路,900000039731016,"117.301989,31.823177",1,16
合肥市地铁,1号线,900000039731,朱岗,900000039731017,"117.301739,31.832155",1,17
合肥市地铁,1号线,900000039731,合工大南区,900000039731018,"117.300710,31.847196",1,18
合肥市地铁,1号线,900000039731,包公园,900000039731019,"117.301360,31.856274",1,19
合肥市地铁,1号线,900000039731,大东门,900000039729016,"117.300761,31.863957",1,20
合肥市地铁,1号线,900000039731,明光路,900000039731021,"117.304588,31.869977",1,21
合肥市地铁,1号线,900000039731,长淮,900000039731022,"117.309132,31.875623",1,22
合肥市地铁,1号线,900000039731,合肥火车站,900000039731023,"117.315587,31.883376",1,23
合肥市地铁,2号线,900000039729,南岗,900000039729001,"117.115653,31.850724",1,24
合肥市地铁,2号线,900000039729,桂庄,900000039729002,"117.126784,31.850724",1,25
合肥市地铁,2号线,900000039729,汽车西站,900000039729003,"117.136078,31.850853",1,26
合肥市地铁,2号线,900000039729,振兴路,900000039729004,"117.151850,31.851072",1,27
合肥市地铁,2号线,900000039729,蜀山西,900000039729005,"117.168011,31.851358",1,28
合肥市地铁,2号线,900000039729,大蜀山,900000039729006,"117.186676,31.852178",1,29
合肥市地铁,2号线,900000039729,天柱路,900000039729007,"117.198511,31.854188",1,30
合肥市地铁,2号线,900000039729,科学大道,900000039729008,"117.208841,31.855940",1,31
合肥市地铁,2号线,900000039729,十里庙,900000039729009,"117.223213,31.854899",1,32
合肥市地铁,2号线,900000039729,西七里塘,900000039729010,"117.230892,31.852496",1,33
合肥市地铁,2号线,900000039729,五里墩,900000039729011,"117.241141,31.851095",1,34
合肥市地铁,2号线,900000039729,三里庵,900000039729012,"117.255594,31.854586",1,35
合肥市地铁,2号线,900000039729,安农大,900000039729013,"117.265503,31.858171",1,36
合肥市地铁,2号线,900000039729,三孝口,900000039729014,"117.275340,31.861092",1,37
合肥市地铁,2号线,900000039729,四牌楼,900000039729015,"117.289704,31.861668",1,38
合肥市地铁,2号线,900000039729,三里街,900000039729017,"117.313994,31.867598",1,39
合肥市地铁,2号线,900000039729,东五里井,900000039729018,"117.324534,31.867763",1,40
合肥市地铁,2号线,900000039729,东七里,900000039729019,"117.338466,31.867807",1,41
合肥市地铁,2号线,900000039729,漕冲,900000039729020,"117.351760,31.868068",1,42
合肥市地铁,2号线,900000039729,东二十埠,900000039729021,"117.367157,31.868250",1,43
合肥市地铁,2号线,900000039729,龙岗,900000039729022,"117.376461,31.868407",1,44
合肥市地铁,2号线,900000039729,王岗,900000039729023,"117.389813,31.868729",1,45
合肥市地铁,2号线,900000039729,三十埠,900000039729024,"117.397380,31.868958",1,46
