city,line,line_id,station_name,station_id,langengrad,state,counter
宁波市地铁,1号线,330201,霞浦,330200021803030,"121.857,29.8905",1,1
宁波市地铁,1号线,330201,长江路,330200021803029,"121.844,29.8908",1,2
宁波市地铁,1号线,330201,中河路,330200021803028,"121.83,29.8938",1,3
宁波市地铁,1号线,330201,松花江路,330200021803027,"121.809,29.9044",1,4
宁波市地铁,1号线,330201,大碶,330200021803026,"121.795,29.8937",1,5
宁波市地铁,1号线,330201,邬隘,330200021803025,"121.782,29.8746",1,6
宁波市地铁,1号线,330201,宝幢,330200021803024,"121.734,29.8396",1,7
宁波市地铁,1号线,330201,五乡,330200021803023,"121.69,29.8386",1,8
宁波市地铁,1号线,330201,邱隘东,330200021803022,"121.661,29.8466",1,9
宁波市地铁,1号线,330201,东环南路,330200021803021,"121.651,29.853",1,10
宁波市地铁,1号线,330201,盛莫路,330200021803020,"121.636,29.8564",1,11
宁波市地铁,1号线,330201,福庆北路,330200021803019,"121.624,29.8588",1,12
宁波市地铁,1号线,330201,海晏北路,330200021803018,"121.615,29.8602",1,13
宁波市地铁,1号线,330201,世纪大道,330200021803017,"121.602,29.859",1,14
宁波市地铁,1号线,330201,福明路,330200021803016,"121.593,29.861",1,15
宁波市地铁,1号线,330201,樱花公园,330200021803015,"121.581,29.8644",1,16
宁波市地铁,1号线,330201,舟孟北路,330200021803014,"121.574,29.8672",1,17
宁波市地铁,1号线,330201,江厦桥东,330200021803013,"121.565,29.8694",1,18
宁波市地铁,1号线,330201,东门口,330200021803012,"121.555,29.8715",1,19
宁波市地铁,1号线,330201,鼓楼,330200021803011,"121.55,29.8729",1,20
宁波市地铁,1号线,330201,西门口,330200021803010,"121.54,29.8748",1,21
宁波市地铁,1号线,330201,大卿桥,330200021803009,"121.532,29.8766",1,22
宁波市地铁,1号线,330201,泽民,330200021803008,"121.521,29.8786",1,23
宁波市地铁,1号线,330201,望春桥,330200021803007,"121.509,29.8819",1,24
宁波市地铁,1号线,330201,徐家漕长乐,330200021803006,"121.497,29.8877",1,25
宁波市地铁,1号线,330201,芦港,330200021803005,"121.487,29.8903",1,26
宁波市地铁,1号线,330201,梁祝,330200021803004,"121.477,29.895",1,27
宁波市地铁,1号线,330201,高桥,330200021803003,"121.464,29.9015",1,28
宁波市地铁,1号线,330201,高桥西,330200021803002,"121.454,29.9108",1,29
宁波市地铁,2号线,330202,栎社国际机场,330200021781023,"121.461,29.8178",1,30
宁波市地铁,2号线,330202,栎社,330200021781022,"121.483,29.8095",1,31
宁波市地铁,2号线,330202,鄞州大道,330200021781021,"121.496,29.8184",1,32
宁波市地铁,2号线,330202,石碶,330200021781020,"121.504,29.8257",1,33
宁波市地铁,2号线,330202,轻纺城,330200021781019,"121.514,29.8315",1,34
宁波市地铁,2号线,330202,藕池,330200021781018,"121.513,29.8415",1,35
宁波市地铁,2号线,330202,客运中心,330200021781017,"121.512,29.8507",1,36
宁波市地铁,2号线,330202,丽园南路,330200021781016,"121.518,29.8581",1,37
宁波市地铁,2号线,330202,云霞路,330200021781015,"121.526,29.8585",1,38
宁波市地铁,2号线,330202,宁波火车站,330200021781014,"121.537,29.8621",1,39
宁波市地铁,2号线,330202,城隍庙,330200021781013,"121.549,29.8671",1,40
宁波市地铁,2号线,330202,外滩大桥,330200021781011,"121.559,29.8828",1,41
宁波市地铁,2号线,330202,正大路,330200021781010,"121.562,29.8898",1,42
宁波市地铁,2号线,330202,倪家堰,330200021781009,"121.567,29.8982",1,43
宁波市地铁,2号线,330202,压赛堰,330200021781008,"121.575,29.9034",1,44
宁波市地铁,2号线,330202,大通桥,330200021781007,"121.581,29.9038",1,45
宁波市地铁,2号线,330202,孔浦,330200021781006,"121.592,29.9041",1,46
宁波市地铁,2号线,330202,路林,330200021781005,"121.612,29.909",1,47
宁波市地铁,2号线,330202,三官堂,330200021781004,"121.621,29.9117",1,48
宁波市地铁,2号线,330202,宁波大学,330200021781003,"121.634,29.9116",1,49
宁波市地铁,2号线,330202,清水浦,330200021781002,"121.661,29.9218",1,50
