city,line,line_id,station_name,station_id,langengrad,state,counter
石家庄市地铁,1号线,900000044039,西王,900000044039001,"114.408462,38.040220",1,1
石家庄市地铁,1号线,900000044039,时光街,900000044039002,"114.423117,38.040693",1,2
石家庄市地铁,1号线,900000044039,长城桥,900000044039003,"114.437003,38.041354",1,3
石家庄市地铁,1号线,900000044039,和平医院,900000044039004,"114.452108,38.042077",1,4
石家庄市地铁,1号线,900000044039,烈士陵园,900000044039005,"114.465157,38.042683",1,5
石家庄市地铁,1号线,900000044039,新百广场,900000044039006,"114.477386,38.043255",1,6
石家庄市地铁,1号线,900000044039,解放广场,900000044039007,"114.486982,38.043385",1,7
石家庄市地铁,1号线,900000044039,平安大街,900000044039008,"114.501446,38.043511",1,8
石家庄市地铁,1号线,900000044039,北国商城,900000044039009,"114.512393,38.043149",1,9
石家庄市地铁,1号线,900000044039,博物院,900000044039010,"114.522609,38.042936",1,10
石家庄市地铁,1号线,900000044039,体育场,900000044039011,"114.532763,38.043126",1,11
石家庄市地铁,1号线,900000044039,北宋,900000044039012,"114.545798,38.043398",1,12
石家庄市地铁,1号线,900000044039,谈固,900000044039013,"114.562054,38.043683",1,13
石家庄市地铁,1号线,900000044039,朝晖桥,900000044039014,"114.576621,38.043953",1,14
石家庄市地铁,1号线,900000044039,白佛,900000044039015,"114.585749,38.044146",1,15
石家庄市地铁,1号线,900000044039,留村,900000044039016,"114.608596,38.037550",1,16
石家庄市地铁,1号线,900000044039,火炬广场,900000044039017,"114.623089,38.037760",1,17
石家庄市地铁,1号线,900000044039,石家庄东站,900000044039018,"114.629189,38.048913",1,18
石家庄市地铁,1号线,900000044039,南村,900000044039019,"114.628722,38.059589",1,19
石家庄市地铁,1号线,900000044039,洨河大道,900000044039020,"114.628373,38.068843",1,20
石家庄市地铁,3号线,900000045645,市二中,900000045645005,"114.477287,38.052736",1,21
石家庄市地铁,3号线,900000045645,东里,900000045645007,"114.477331,38.036814",1,22
石家庄市地铁,3号线,900000045645,槐安桥,900000045645008,"114.477344,38.027802",1,23
石家庄市地铁,3号线,900000045645,西三教,900000045645009,"114.477393,38.016800",1,24
石家庄市地铁,3号线,900000045645,石家庄站,900000045645010,"114.487056,38.009958",1,25
