city,line,line_id,station_name,station_id,langengrad,state,counter
武汉市地铁,1号线,420100034364,汉口北,420100034364030,"114.329481,30.711953",1,1
武汉市地铁,1号线,420100034364,滠口新城,420100034364029,"114.342372,30.684553",1,2
武汉市地铁,1号线,420100034364,滕子岗,420100034364028,"114.341474,30.674527",1,3
武汉市地铁,1号线,420100034364,堤角,420100034364027,"114.338273,30.665863",1,4
武汉市地铁,1号线,420100034364,新荣,420100034364026,"114.334533,30.655893",1,5
武汉市地铁,1号线,420100034364,丹水池,420100034364025,"114.330017,30.643386",1,6
武汉市地铁,1号线,420100034364,徐州新村,420100034364024,"114.322936,30.631171",1,7
武汉市地铁,1号线,420100034364,二七路,420100034364023,"114.318749,30.625032",1,8
武汉市地铁,1号线,420100034364,头道街,420100034364022,"114.313923,30.617818",1,9
武汉市地铁,1号线,420100034364,黄浦路,420100034364021,"114.308156,30.608404",1,10
武汉市地铁,1号线,420100034364,三阳路,420100034364020,"114.301876,30.599502",1,11
武汉市地铁,1号线,420100034364,大智路,420100024335017,"114.295038,30.592581",1,12
武汉市地铁,1号线,420100034364,循礼门,420100024404014,"114.285992,30.585234",1,13
武汉市地铁,1号线,420100034364,友谊路,420100034364017,"114.278415,30.580865",1,14
武汉市地铁,1号线,420100034364,利济北路,420100034364016,"114.270119,30.577433",1,15
武汉市地铁,1号线,420100034364,崇仁路,420100034364015,"114.261901,30.573909",1,16
武汉市地铁,1号线,420100034364,硚口路,420100034364014,"114.250444,30.571547",1,17
武汉市地铁,1号线,420100034364,太平洋,420100034364013,"114.240741,30.574025",1,18
武汉市地铁,1号线,420100034364,宗关,420100024331016,"114.224975,30.580306",1,19
武汉市地铁,1号线,420100034364,汉西一路,420100034364011,"114.218822,30.585491",1,20
武汉市地铁,1号线,420100034364,古田四路,420100034364010,"114.211532,30.589347",1,21
武汉市地铁,1号线,420100034364,古田三路,420100034364009,"114.204740,30.593382",1,22
武汉市地铁,1号线,420100034364,古田二路,420100034364008,"114.196667,30.597536",1,23
武汉市地铁,1号线,420100034364,古田一路,420100034364007,"114.183062,30.604521",1,24
武汉市地铁,1号线,420100034364,舵落口,420100034364006,"114.169464,30.609907",1,25
武汉市地铁,1号线,420100034364,竹叶海,420100034364005,"114.163868,30.615064",1,26
武汉市地铁,1号线,420100034364,额头湾,420100034364004,"114.155954,30.618533",1,27
武汉市地铁,1号线,420100034364,五环大道,420100034364003,"114.138907,30.617699",1,28
武汉市地铁,1号线,420100034364,东吴大道,420100034364002,"114.128567,30.624968",1,29
武汉市地铁,1号线,420100034364,码头潭公园,420100034364033,"114.123791,30.631768",1,30
武汉市地铁,1号线,420100034364,三店,420100034364032,"114.120934,30.649199",1,31
武汉市地铁,1号线,420100034364,径河,420100034364031,"114.120955,30.659485",1,32
武汉市地铁,2号线,420100024404,光谷广场,420100024404002,"114.397169,30.505760",1,33
武汉市地铁,2号线,420100024404,杨家湾,420100024404003,"114.382732,30.505122",1,34
武汉市地铁,2号线,420100024404,虎泉,420100024404004,"114.370478,30.512359",1,35
武汉市地铁,2号线,420100024404,广埠屯,420100024404005,"114.364207,30.522437",1,36
武汉市地铁,2号线,420100024404,街道口,420100024404006,"114.353503,30.526597",1,37
武汉市地铁,2号线,420100024404,宝通寺,420100024404007,"114.341206,30.530349",1,38
武汉市地铁,2号线,420100024404,中南路,420100024404008,"114.332962,30.537532",1,39
武汉市地铁,2号线,420100024404,洪山广场,420100024404009,"114.336354,30.545298",1,40
武汉市地铁,2号线,420100024404,小龟山,420100024404010,"114.326520,30.551108",1,41
武汉市地铁,2号线,420100024404,螃蟹岬,420100024404011,"114.317476,30.553333",1,42
武汉市地铁,2号线,420100024404,积玉桥,420100024404012,"114.308681,30.561286",1,43
武汉市地铁,2号线,420100024404,江汉路,420100024335016,"114.292306,30.579581",1,44
武汉市地铁,2号线,420100024404,中山公园,420100024404015,"114.272845,30.581962",1,45
武汉市地铁,2号线,420100024404,青年路,420100024404016,"114.264757,30.585762",1,46
武汉市地铁,2号线,420100024404,王家墩东,420100024404017,"114.263234,30.593834",1,47
武汉市地铁,2号线,420100024404,范湖,420100024331012,"114.261086,30.607717",1,48
武汉市地铁,2号线,420100024404,汉口火车站,420100024404019,"114.254961,30.615485",1,49
武汉市地铁,2号线,420100024404,长港路,420100024404020,"114.246021,30.627168",1,50
武汉市地铁,2号线,420100024404,常青花园,420100024335024,"114.242435,30.640564",1,51
武汉市地铁,2号线,420100024404,金银潭,420100024404022,"114.242807,30.650412",1,52
武汉市地铁,2号线,420100024404,常青城,420100024404023,"114.255060,30.658775",1,53
武汉市地铁,2号线,420100024404,宏图大道,420100024331002,"114.277759,30.670353",1,54
武汉市地铁,2号线,420100024404,盘龙城,420100024404025,"114.259544,30.700235",1,55
武汉市地铁,2号线,420100024404,巨龙大道,420100024404026,"114.253845,30.711596",1,56
武汉市地铁,2号线,420100024404,宋家岗,420100024404027,"114.237299,30.723137",1,57
武汉市地铁,2号线,420100024404,航空总部,420100024404028,"114.227261,30.732481",1,58
武汉市地铁,2号线,420100024404,天河机场,420100024404029,"114.216618,30.770624",1,59
武汉市地铁,3号线,420100024331,沌阳大道,420100024331025,"114.157139,30.489376",1,60
武汉市地铁,3号线,420100024331,东风公司,420100024331024,"114.166088,30.500107",1,61
武汉市地铁,3号线,420100024331,体育中心,420100024331023,"114.170981,30.506039",1,62
武汉市地铁,3号线,420100024331,三角湖,420100024331022,"114.179686,30.516507",1,63
武汉市地铁,3号线,420100024331,汉阳客运站,420100024331021,"114.189054,30.527803",1,64
武汉市地铁,3号线,420100024331,四新大道,420100024331020,"114.194631,30.535228",1,65
武汉市地铁,3号线,420100024331,陶家岭,420100024331019,"114.201851,30.545591",1,66
武汉市地铁,3号线,420100024331,龙阳村,420100024331018,"114.206329,30.552879",1,67
武汉市地铁,3号线,420100024331,王家湾,420100024331017,"114.210242,30.562162",1,68
武汉市地铁,3号线,420100024331,双墩,420100024331015,"114.232026,30.586660",1,69
武汉市地铁,3号线,420100024331,武汉商务区,420100024331014,"114.246863,30.597604",1,70
武汉市地铁,3号线,420100024331,云飞路,420100024331013,"114.252144,30.605164",1,71
武汉市地铁,3号线,420100024331,菱角湖,420100024331011,"114.275790,30.604121",1,72
武汉市地铁,3号线,420100024331,香港路,420100024331010,"114.284569,30.605370",1,73
武汉市地铁,3号线,420100024331,惠济二路,420100024331009,"114.291471,30.612920",1,74
武汉市地铁,3号线,420100024331,赵家条,420100024331008,"114.297004,30.617811",1,75
